source,target,before,after,delta
33,54,0.4226340206811563,0.4226340209860426,3.048862828869403e-10
33,67,0.420492386946641,0.4204923902821657,3.335524689784819e-09
34,13,0.41446987105496974,0.4144698796782511,8.623281366748614e-09
34,21,0.4204139066525507,0.4204139546415216,4.798897090818599e-08
34,26,0.4346098252469938,0.43460987148337227,4.623637844813899e-08
34,29,0.42422327455401915,0.4242232865913897,1.2037370544781822e-08
34,39,0.4235869919000169,0.4235870509203148,5.9020297871192895e-08
34,42,0.4290539495096215,0.42905403367937855,8.416975705305418e-08
34,47,0.41913010313730314,0.41913051182822475,4.0869092160500387e-07
34,55,0.41674911960229594,0.4167496778681058,5.582658098579607e-07
34,68,0.41622920981531825,0.41623050208507517,1.2922697569250907e-06
35,14,0.410486027869725,0.4104860278707725,1.0474954237338352e-12
35,22,0.4168734839251852,0.41687348395619633,3.101113810188849e-11
35,27,0.4214184379088074,0.4214184379098421,1.0347278589506459e-12
35,30,0.43909219113705367,0.43909219136314354,2.2608986904870676e-10
35,40,0.41523823908974444,0.41523823909051033,7.658873535376642e-13
35,43,0.43710889045003576,0.43710889077080317,3.2076741263153963e-10
35,48,0.4365035435799438,0.43650354359646476,1.6520951273690798e-11
35,56,0.42868108116501696,0.42868108140800726,2.4299029455221444e-10
35,69,0.4318536221392681,0.4318536222763532,1.370851210324986e-10
36,15,0.41592794055212545,0.41592794055222276,9.731104810839497e-14
36,23,0.3940477394374965,0.3940477394380632,5.667133429199112e-13
36,28,0.4190067539940615,0.41900675399428106,2.195466031196247e-13
36,31,0.4384112565779243,0.438411256581198,3.273714632712199e-12
36,41,0.4236741071126824,0.4236741071130824,4.000133557724439e-13
36,44,0.43247859813052447,0.43247859813346873,2.944255950154684e-12
36,49,0.4097207393888676,0.40972073938896814,1.0053069487980792e-13
36,57,0.4118686364112177,0.41186863641222143,1.003752636563604e-12
36,70,0.43401294940326435,0.43401294940361024,3.458899833219675e-13
37,16,0.42610093984698305,0.42610093987976183,3.2778779690545434e-11
37,24,0.39886020798206084,0.3988602079916389,9.57806056689492e-12
37,29,0.422728846039139,0.4227288461642569,1.2511786051661034e-10
37,32,0.4248075172331758,0.42480751723490884,1.7330581414398694e-12
37,42,0.4282406130511191,0.4282406134454804,3.943613213763797e-10
37,45,0.4266653128528661,0.4266653128556288,2.7627344856284708e-12
37,50,0.4458550819955658,0.4458550821412316,1.456658127452215e-10
37,58,0.4146881579412991,0.4146881579621865,2.0887402918390308e-11
37,71,0.42042530397012573,0.4204253041372875,1.671617844145601e-10
38,17,0.42618774902815293,0.4261877752120274,2.618387445751935e-08
38,25,0.4066082355011782,0.40660827072887556,3.522769737029918e-08
38,30,0.41403560160613906,0.4140356479400572,4.633391814667931e-08
38,33,0.4098090340070605,0.4098090448282063,1.0821145812744959e-08
38,43,0.42269421737554597,0.4226942839575195,6.65819735456985e-08
38,46,0.4297549722544612,0.42975505377860634,8.152414515683049e-08
38,51,0.41155030858465014,0.41155072592108644,4.173364362980436e-07
38,59,0.40366925444151885,0.4036698251953592,5.707538403565415e-07
38,72,0.4024538561523274,0.40245519247295425,1.336320626821319e-06
39,18,0.41685483163446024,0.4168548330280425,1.3935822495980688e-09
39,26,0.4428479016906438,0.44284791136749935,9.676855539098028e-09
39,31,0.4368176370345752,0.436817638420742,1.3861667924608412e-09
39,34,0.40797955905708555,0.4079795797322113,2.067512572256902e-08
39,44,0.4137150528271047,0.4137150540691705,1.2420657835576776e-09
39,47,0.4008403956546828,0.40084043835422395,4.2699541125124085e-08
