brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,213,A,282.1888202606025,1.1757867510858437
1,213,F,328.7959426318394,1.369983094299331
1,214,F,329.97933016790887,1.3749138756996202
1,214,A,281.6455193247258,1.1735229971863574
1,215,A,282.4795249079398,1.176998020449749
1,215,F,329.3024942475608,1.3720937260315034
1,216,F,330.48588304970974,1.377024512707124
1,216,A,281.9295966493261,1.1747066527055252
1,217,A,282.76326984389834,1.178180291016243
1,217,F,329.8026703186006,1.374177792994169
1,218,F,330.9808021267768,1.3790866755282365
1,218,A,282.2104187623663,1.175876744843193
1,219,A,283.04407415848755,1.179350308993698
1,219,F,330.293844104473,1.3762243504353042
1,220,F,331.470928398958,1.3811288683289917
1,220,A,282.4845196679986,1.1770188319499941
1,221,A,283.318116464012,1.1804921519333833
1,221,F,330.78124932672864,1.378255205528036
1,222,F,331.9607458390284,1.383169774329285
1,222,A,282.7552332113642,1.178146805047351
1,223,A,283.5873040815895,1.181613767006623
1,223,F,331.2669813035907,1.3802790887649612
1,224,F,332.44917814984194,1.3852049089576748
1,224,A,283.01927027916685,1.1792469594965285
1,225,A,283.8490850293603,1.182704520955668
1,225,F,331.748302919214,1.3822845954967249
1,226,F,332.9341632107985,1.3872256800449938
1,226,A,283.28067847657894,1.180336160319079
1,227,A,284.10872336499506,1.1837863473541461
1,227,F,332.23696327011294,1.3843206802921373
1,228,F,333.42310672149176,1.3892629446728824
1,228,A,283.53524274174595,1.1813968447572747
1,229,A,284.36420051426137,1.184850835476089
1,229,F,332.72324960670664,1.3863468733612776
1,230,F,333.9073905504566,1.3912807939602359
1,230,A,283.7878381235189,1.182449325514662
1,231,A,284.6188662573377,1.185911942738907
1,231,F,333.205256316548,1.3883552346522834
1,232,F,334.387975919882,1.3932832329995084
1,232,A,284.03247948817,1.1834686645340418
1,233,A,284.8649113730404,1.1869371307210017
1,233,F,333.679928830791,1.3903330367949627
1,234,F,334.8639672364973,1.395266530152072
1,234,A,284.2687820990641,1.1844532587461003
1,235,A,285.1018478975478,1.1879243662397827
1,235,F,334.1538462386961,1.3923076926612337
1,236,F,335.33270137189925,1.3972195890495802
1,236,A,284.4992294329121,1.185413455970467
1,237,A,285.3323900789385,1.1888849586622436
1,237,F,334.62507098761,1.3942711291150416
1,238,F,335.79769743442637,1.3991570726434432
1,238,A,284.72205828876145,1.186341909536506
1,239,A,285.55612352647256,1.1898171813603022
1,239,F,335.0907394216887,1.396211414257036
1,240,F,336.26043031139534,1.4010851262974806
1,240,A,284.935498435124,1.1872312434796832
1,241,A,285.77448429621074,1.1907270179008782
1,241,F,335.55501640932744,1.3981459017055309
1,242,F,336.72513021054965,1.4030213758772903
1,242,A,285.14939014491364,1.1881224589371402
1,243,A,285.98634015407697,1.1916097506419874
1,243,F,336.01585337186515,1.4000660557161049
1,244,F,337.1886124010053,1.4049525516708554
1,244,A,285.36263824163217,1.1890109926734673
1,245,A,286.19604573429723,1.192483523892905
1,245,F,336.47403630551116,1.4019751512729632
1,246,F,337.6520595455457,1.4068835814397738
1,246,A,285.57490729446295,1.1898954470602623
1,247,A,286.4033975902832,1.1933474899595133
1,247,F,336.9367034163914,1.4039029309016309
1,248,F,338.11895968037425,1.408828998668226
1,248,A,285.7843533012415,1.1907681387551727
1,249,A,286.6131948756048,1.19422164531502
1,249,F,337.40540069296003,1.4058558362206668
1,250,F,338.5850484341071,1.4107710351421128
1,250,A,285.9947999679614,1.1916449998665057
1,251,A,286.82131374686765,1.1950888072786152
1,251,F,337.8674646092146,1.4077811025383942
1,252,F,339.0456087298441,1.4126900363743504
1,252,A,286.1988631319183,1.1924952630496597
1,253,A,287.02353229837877,1.1959313845765782
1,253,F,338.3208648492184,1.4096702702050767
1,254,F,339.495211375863,1.4145633807327624
1,254,A,286.40260954717996,1.1933442064465831
1,255,A,287.22569454407665,1.196773727266986
1,255,F,338.76927300104614,1.411538637504359
1,256,F,339.9397361847688,1.4164155674365366
1,256,A,286.60153228875276,1.1941730512031365
1,257,A,287.4262902320524,1.1976095426335516
1,257,F,339.2087321150597,1.4133697171460822
1,258,F,340.38072278764537,1.418253011615189
1,258,A,286.7995624286836,1.1949981767861817
1,259,A,287.6252602937627,1.1984385845573446
1,259,F,339.64227694170813,1.415176153923784
1,260,F,340.8164742149447,1.4200686425622697
1,260,A,286.9963275230561,1.1958180313460671
1,261,A,287.82473087471607,1.1992697119779836
1,261,F,340.0713759978356,1.4169640666576484
1,262,F,341.2451402603315,1.4218547510847146
1,262,A,287.2040283364058,1.1966834514016909
1,263,A,288.0330129562987,1.200137553984578
1,263,F,340.4958885389838,1.4187328689124326
